Station,Year,Month,Days_Available,Rainfall_Total,Rainfall_Days,Max_Daily_Rain,Temperature_Mean,Max_Temperature,Min_Temperature,Humidity_Mean,Sunshine_Mean,Season,Latitude,Longitude,Ra_MJ_m2_day,Days_in_Month,PET_mm_day,PET_mm_month,Water_Balance
Sandwip,2000,6,30,626.0,22,124.0,28.286666666666672,30.2,26.0,90.06666666666666,4.753333333333333,Monsoon,22.48,91.43,40.02569127481533,30,3.5475357718442893,106.42607315532868,519.5739268446713
Sandwip,2000,7,31,1315.0,21,311.0,28.22258064516129,31.1,26.2,90.25806451612904,5.264516129032258,Monsoon,22.48,91.43,39.63045473142296,31,3.7886637453125256,117.4485761046883,1197.5514238953117
Sandwip,2000,8,31,494.0,14,197.0,28.406451612903226,30.6,26.3,87.96774193548387,4.5,Monsoon,22.48,91.43,38.18230429702243,31,3.4331041583709654,106.42622890949993,387.5737710905001
Sandwip,2000,9,30,346.0,16,106.0,28.953333333333337,30.7,27.1,87.83333333333333,4.0633333333333335,Monsoon,22.48,91.43,35.03206816349564,30,2.9162020206161716,87.48606061848515,258.51393938151483
Sandwip,2000,10,31,384.0,11,86.0,29.52258064516129,31.1,27.1,89.41935483870968,6.416129032258064,Post-Monsoon,22.48,91.43,30.450830141623346,31,2.7044910683991836,83.8392231203747,300.1607768796253
Sandwip,2000,11,30,28.0,1,28.0,25.536666666666665,28.9,20.0,87.16666666666667,8.003333333333336,Post-Monsoon,22.48,91.43,26.14346665699684,30,3.1717699563150026,95.15309868945008,-67.15309868945008
Sandwip,2000,12,31,0.0,0,0.0,20.05161290322581,22.2,18.9,81.35483870967742,8.922580645161291,Winter,22.48,91.43,24.17597495430461,31,1.559959618226511,48.35874816502184,-48.35874816502184
Sandwip,2001,1,31,0.0,0,0.0,16.87741935483871,20.6,14.7,82.35483870967742,7.129032258064516,Winter,22.48,91.43,25.460275351627466,31,2.0124443123506555,62.38577368287032,-62.38577368287032
Sandwip,2001,2,28,21.0,3,9.0,20.892857142857142,26.0,15.0,82.35714285714286,8.232142857142858,Winter,22.48,91.43,29.486971760193196,28,3.5509562001422386,99.42677360398268,-78.42677360398268
Sandwip,2001,3,31,0.0,0,0.0,26.86774193548387,29.3,24.4,74.45161290322581,9.248387096774191,Pre-Monsoon,22.48,91.43,34.32497596960831,31,3.1848595084623583,98.73064476233311,-98.73064476233311
Sandwip,2001,4,30,19.0,4,14.0,29.233333333333334,30.7,27.3,81.2,8.068333333333333,Pre-Monsoon,22.48,91.43,37.94516024594045,30,3.0880875743647964,92.64262723094389,-73.64262723094389
Sandwip,2001,5,31,925.0,21,204.0,28.70967741935484,30.3,26.4,85.64516129032258,5.709677419354839,Pre-Monsoon,22.48,91.43,39.65175126597398,31,3.417637553855668,105.94676416952571,819.0532358304743
Sandwip,2001,6,30,3001.0,22,590.0,27.84666666666667,29.6,25.4,90.73333333333332,3.613333333333333,Monsoon,22.48,91.43,40.02569127481533,30,3.5136666324053034,105.4099989721591,2895.590001027841
Sandwip,2001,7,31,817.0,20,185.0,28.77096774193548,30.0,27.1,87.90322580645162,5.280645161290321,Monsoon,22.48,91.43,39.63045473142296,31,2.949383975209004,91.43090323147912,725.5690967685209
Sandwip,2001,8,31,575.0,20,60.0,29.28387096774194,30.3,27.5,85.16129032258064,8.019354838709678,Monsoon,22.48,91.43,38.18230429702243,31,2.822937806489064,87.51107200116098,487.488927998839
Sandwip,2001,9,30,163.0,12,44.0,28.843333333333327,29.4,27.8,86.56666666666666,4.296666666666666,Monsoon,22.48,91.43,35.03206816349564,30,1.9395605720082736,58.18681716024821,104.81318283975179
Sandwip,2001,10,31,482.0,16,87.0,28.64193548387097,30.2,26.0,87.16129032258064,6.80967741935484,Post-Monsoon,22.48,91.43,30.450830141623346,31,2.7197068297039233,84.31091172082162,397.68908827917835
Sandwip,2001,11,30,132.0,6,59.0,25.780000000000005,28.4,21.7,87.3,5.733333333333334,Post-Monsoon,22.48,91.43,26.14346665699684,30,2.767424627477855,83.02273882433565,48.97726117566435
Sandwip,2001,12,31,0.0,0,0.0,19.37096774193548,21.6,17.8,82.90322580645162,6.991935483870967,Winter,22.48,91.43,24.17597495430461,31,1.6438707294687205,50.95999261353033,-50.95999261353033
Sandwip,2002,1,31,11.0,4,4.0,18.135483870967747,19.6,17.2,82.0,6.370967741935484,Winter,22.48,91.43,25.460275351627466,31,1.3300875035238529,41.232712609239435,-30.232712609239435
Sandwip,2002,2,28,0.0,0,0.0,21.117857142857144,22.3,19.5,79.96428571428571,6.992857142857141,Winter,22.48,91.43,29.486971760193196,28,1.801963991238094,50.454991754666636,-50.454991754666636
Sandwip,2002,3,31,230.0,3,124.0,23.35806451612904,25.1,21.4,78.09677419354838,7.7064516129032254,Pre-Monsoon,22.48,91.43,34.32497596960831,31,2.55008141780645,79.05252395199994,150.94747604800006
Sandwip,2002,4,30,201.0,6,64.0,26.39666666666666,27.9,22.5,84.73333333333333,8.013333333333334,Pre-Monsoon,22.48,91.43,37.94516024594045,30,3.657049056823361,109.71147170470083,91.28852829529917
